,Start,End,Attenuation
0,A,B,0.0165073862024
1,A,C,0.00451221836627
2,A,D,0.00340868274779
3,A,E,0.00506250679539
4,A,F,0.00282326782091
5,A,G,0.0285014840741
6,B,A,0.0165073862024
7,B,C,0.0125144739581
8,B,D,0.00885054774023
9,B,E,0.00708850181536
10,B,F,0.00701577138191
11,B,G,0.140361078296
12,C,A,0.00451221836627
13,C,B,0.0125144739581
14,C,D,0.161933174617
15,C,E,0.0195052610859
16,C,F,0.0492876185505
17,C,G,0.00752499942093
18,D,A,0.00340868274779
19,D,B,0.00885054774023
20,D,C,0.161933174617
21,D,E,0.0119030782299
22,D,F,0.239087421384
23,D,G,0.00566218426098
24,E,A,0.00506250679539
25,E,B,0.00708850181536
26,E,C,0.0195052610859
27,E,D,0.0119030782299
28,E,F,0.00808801594495
29,E,G,0.00536606721697
30,F,A,0.00282326782091
31,F,B,0.00701577138191
32,F,C,0.0492876185505
33,F,D,0.239087421384
34,F,E,0.00808801594495
35,F,G,0.00468767558971
36,G,A,0.0285014840741
37,G,B,0.140361078296
38,G,C,0.00752499942093
39,G,D,0.00566218426098
40,G,E,0.00536606721697
41,G,F,0.00468767558971
